City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3hrs),Snow inches (last 3hrs)
51,Quatre Cocos,MU,2022-07-29 05:29:51,-20.2078,57.7625,75.09,67,6,15.55,clear sky,0.0,0.0
52,Dunedin,NZ,2022-07-29 05:29:51,-45.8742,170.5036,47.8,73,99,5.91,overcast clouds,0.0,0.0
53,Khatanga,RU,2022-07-29 05:20:50,71.9667,102.5,73.65,45,49,6.93,scattered clouds,0.0,0.0
54,Ushuaia,AR,2022-07-29 05:29:52,-54.8,-68.3,38.86,81,75,5.75,broken clouds,0.0,0.0
55,Guider,CM,2022-07-29 05:29:52,9.9342,13.9486,71.71,93,100,5.82,light rain,0.0,0.0
56,Vao,NC,2022-07-29 05:29:52,-22.6667,167.4833,69.57,67,43,12.21,scattered clouds,0.0,0.0
57,Ibra,OM,2022-07-29 05:29:53,22.6906,58.5334,79.48,69,56,5.97,broken clouds,0.0,0.0
58,Mataura,NZ,2022-07-29 05:29:53,-46.1927,168.8643,47.48,95,94,6.71,light rain,0.0,0.0
59,Ahipara,NZ,2022-07-29 05:29:53,-35.1667,173.1667,57.54,76,39,5.17,scattered clouds,0.0,0.0
60,Bandarbeyla,SO,2022-07-29 05:20:43,9.4942,50.8122,81.45,60,44,26.08,scattered clouds,0.0,0.0
61,Nanga Eboko,CM,2022-07-29 05:29:54,4.6833,12.3667,66.74,100,100,1.88,light rain,0.0,0.0
62,Garavuti,TJ,2022-07-29 05:29:54,37.5672,68.4469,92.05,17,0,7.16,clear sky,0.0,0.0
63,Cairns,AU,2022-07-29 05:29:54,-16.9167,145.7667,79.07,58,11,16.11,few clouds,0.0,0.0
64,Tiksi,RU,2022-07-29 05:29:55,71.6872,128.8694,49.77,82,100,9.26,overcast clouds,0.0,0.0
65,Hermanus,ZA,2022-07-29 05:29:55,-34.4187,19.2345,59.81,73,68,21.12,broken clouds,0.0,0.0
66,Yishui,CN,2022-07-29 05:29:55,35.7847,118.6281,80.56,78,100,7.05,overcast clouds,0.0,0.0
67,Castro,BR,2022-07-29 05:26:54,-24.7911,-50.0119,59.61,66,80,5.75,broken clouds,0.0,0.0
68,East London,ZA,2022-07-29 05:29:56,-33.0153,27.9116,67.14,52,0,6.91,clear sky,0.0,0.0
69,Nueva Granada,CO,2022-07-29 05:29:56,9.8017,-74.393,72.86,96,99,5.01,overcast clouds,0.0,0.0
70,Bengkulu,ID,2022-07-29 05:29:57,-3.8004,102.2655,84.81,68,87,8.77,overcast clouds,0.0,0.0
71,Atuona,PF,2022-07-29 05:29:57,-9.8,-139.0333,77.52,75,29,23.98,light rain,0.0,0.0
72,Inirida,CO,2022-07-29 05:29:57,3.8653,-67.9239,71.89,99,100,1.05,overcast clouds,0.0,0.0
73,Nantucket,US,2022-07-29 05:29:57,41.2835,-70.0995,78.91,98,100,8.05,fog,0.0,0.0
74,Vaini,TO,2022-07-29 05:22:04,-21.2,-175.2,77.16,88,20,6.91,few clouds,0.0,0.0
75,Esperance,AU,2022-07-29 05:29:58,-33.8667,121.9,69.28,61,80,13.15,broken clouds,0.0,0.0
76,Bredasdorp,ZA,2022-07-29 05:22:01,-34.5322,20.0403,53.04,68,40,9.37,scattered clouds,0.0,0.0
77,Nuuk,GL,2022-07-29 05:29:58,64.1835,-51.7216,45.21,87,100,3.44,light shower snow,0.0,0.0
